Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Continent,Renewable-electricity-generating-capacity-per-capita_normalized,Primary energy consumption per capita (kWh/person)_normalized
Italy,2020,100.0,100.0,,,,161.17,0.0,116.9,42.039772,27763.8,,,19.721262,-8.9385925,31714.22095,206,301340.0,41.87194,12.56738,Europe,,15.08290988173488
Jamaica,2020,100.0,82.7,85.65,,,3.43,0.0,0.64,15.724815,12098.731,,,,-10.0,4664.530242,273,10991.0,18.109581,-77.297508,North America,2.828168678998394,6.572733896525408
Japan,2020,100.0,100.0,,,,716.67,41.86,205.6,25.666662,38029.27,,,11.155339,-4.585508281,40193.25244,347,377944.0,36.204824,138.252924,Asia,,20.659709848009413
Jordan,2020,99.9,99.9,186.5,,,15.72,0.0,4.32,21.556887,9838.043,,,,-1.551384466,4282.765825,115,89342.0,30.585164,36.238414,Asia,6.160576802342103,5.344596776436679
Kazakhstan,2020,100.0,92.7,266.15,,,96.7,,11.94,10.990427,39590.598,,,3.9000363,-2.5,9122.23343,7,2724900.0,48.019573,66.923684,Asia,8.792468790684456,21.507913967035964
Kenya,2020,71.43794,19.5,40.74,,,0.92,0.0,10.83,92.17021,1902.1184,,,,-0.316182729,1878.580703,94,580367.0,-0.023559,37.906193,Africa,1.3441979420686372,1.0333412721453743
Kiribati,2020,91.96303,9.9,23.96,,,0.03,0.0,0.0,0.0,2417.654,,,,-1.947556647,1653.540297,147,811.0,1.8368976,-157.3768317,Oceania,0.7897328125722821,1.3134101746596598
Kuwait,2020,100.0,100.0,24.76,,,66.89,0.0,0.05,0.074693754,91131.37,,,0.036519468,-8.685261653,24811.76971,240,17818.0,29.31166,47.481766,Asia,0.8161673837044087,49.50785703358465
Kyrgyzstan,2020,99.98105,76.6,563.61,,,1.37,0.0,14.8,91.52752,10439.837,,,,,,34,199951.0,41.20438,74.766098,Asia,18.62150320188743,5.671526255447793
Latvia,2020,100.0,100.0,,,,2.08,0.0,3.64,63.636368,21535.734,,,24.768972,-3.618565992,17726.25294,30,64589.0,56.879635,24.603189,Europe,,11.699462435221902
Lebanon,2020,100.0,,50.35,,,18.28,0.0,1.21,6.208312,18341.434,,,,-21.46426628,4649.547646,667,10400.0,33.854721,35.862285,Asia,1.6617432277933082,9.964133012188105
Lesotho,2020,47.352737,40.1,35.06,,,0.0,0.0,0.5,100.0,2092.5305,,,,-9.614037019,875.353433,71,30355.0,-29.609988,28.233608,Africa,1.1565124870305385,1.1367841922316695
Liberia,2020,27.53471,0.4,18.7,,,0.36,0.0,0.53,59.55056,1030.0463,,,,-2.982916281,632.9363856,53,111369.0,6.428055,-9.429499,Africa,0.6159255073785497,0.5595810197780725
Libya,2020,69.70735,,0.74,,,30.09,0.0,0.01,0.03322259,28032.594,,,,-31.30000005,3699.294765,4,1759540.0,26.3351,17.228331,Africa,0.0224693854623076,15.228934405710381
Lithuania,2020,100.0,100.0,,,,1.96,0.0,2.57,56.73289,24924.742,,,10.144763,-0.132431461,20233.64135,43,65300.0,55.169438,23.881275,Europe,,13.540568560913577
Luxembourg,2020,100.0,100.0,,,,0.25,0.0,0.97,79.508194,64241.79,,,6.848767,-1.776240229,116014.6025,242,2586.0,49.815273,6.129583,Europe,,34.89987426833996
Madagascar,2020,33.735077,1.0,7.12,,,1.29,0.0,0.68,34.517765,447.50406,,,,-7.140611591,471.4914963,48,587041.0,-18.766947,46.869107,Africa,0.23328509024101723,0.2431102157734344
Malawi,2020,14.866769,1.0,21.43,,,0.21,0.0,1.5,87.7193,503.25735,,,,0.799998331,636.8205368,203,118484.0,-13.254308,34.301525,Africa,0.7061334813669317,0.27339864346273596
Malaysia,2020,100.0,95.5,268.76,,,138.77,,30.54,18.037918,35997.363,,,7.1631722,-5.646944836,10412.34898,99,329847.0,4.210484,101.975766,Asia,8.878711579003019,19.55585986461138
Maldives,2020,100.0,99.2,31.1,,,0.57,0.0,0.04,6.557377,17308.588,,,,-33.4999021,6924.105745,"1,802",298.0,3.202778,73.22068,Asia,1.0256613599265119,9.403031032642426
Mali,2020,50.561417,0.9,20.98,,,2.04,0.0,1.16,36.25,1142.8834,,,,-1.235450447,862.4530188,17,1240192.0,17.570692,-3.996166,Africa,0.6912640351051105,0.6208806909547957
Malta,2020,100.0,100.0,,,,1.9,0.0,0.25,11.627907,72065.46,,,,-7.001129615,27884.64283,"1,380",316.0,35.937496,14.375416,Europe,,39.15014654931133
Mauritania,2020,47.34842,42.6,26.22,,,1.29,0.0,0.48,27.118645,3884.7751,,,,-1.763321794,1701.991163,5,1030700.0,21.00789,-10.940835,Africa,0.8644104760205397,2.1104356299968883
Mauritius,2020,99.66165,96.8,198.16,,,2.17,0.0,0.57,20.80292,19245.18,,,,-14.89468757,8627.843157,626,2040.0,-20.348404,57.552152,Africa,6.545860676592848,10.455100368024784
Mexico,2020,99.4,84.9,219.94,,,245.46,10.87,69.19,24.594496,16382.68,,,9.475372,-8.309034659,8329.271313,66,1964375.0,23.634501,-102.552784,North America,7.265541875664994,8.900023990278722
