Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Continent,Renewable-electricity-generating-capacity-per-capita_normalized,Primary energy consumption per capita (kWh/person)_normalized
Uganda,2020,42.074417,0.5,25.89,,,0.13,0.0,4.32,97.07866,766.4143,,,,2.951306422,822.0276815,229,241038.0,1.373333,32.290275,Africa,0.8535062154285374,0.4163607942346841
Ukraine,2020,100.0,94.9,,,,54.5,76.2,17.56,63.240257,20916.844,,,4.8960786,-4.000006101,3724.938437,75,603550.0,48.379433,31.16558,Europe,,11.363245415336047
United Arab Emirates,2020,100.0,100.0,256.84,,,119.49,1.56,5.5,5.5788226,126073.66,,,1.0150354,-6.134500803,36284.55524,118,83600.0,23.424076,53.847818,Asia,8.484836469134333,68.49053992034533
United Kingdom,2020,100.0,100.0,,,,124.78,50.85,131.74,59.403976,29425.54,,,20.078987,-9.396160006,41059.16881,281,243610.0,55.378051,-3.435973,Europe,,15.985663635431207
United States,2020,100.0,100.0,,,,2431.9,789.88,821.4,39.8518,73236.14,,,10.532232,-3.404591573,63593.44362,36,9833517.0,37.09024,-95.712891,,,39.786127969014295
Uruguay,2020,100.0,100.0,1075.17,,,2.4,0.0,11.14,82.27474,17631.44,,,,-5.858721243,15438.41167,20,176215.0,-32.522779,-55.765835,South America,35.52508971232578,9.578423004243497
Uzbekistan,2020,100.0,84.25,60.02,,,50.93,0.0,5.01,8.956025,15860.609,,,2.523421,1.714770576,1750.697113,79,447400.0,41.377491,64.585262,Asia,1.9812711063528883,8.616404678625878
Vanuatu,2020,67.33327,7.6,37.84,,,0.05,0.0,0.02,28.571428,2923.538,,,,-6.813991132,2870.0893,25,12189.0,-15.376706,166.959158,Oceania,1.2483726217146784,1.588235767071778
Yemen,2020,73.75793,61.5,8.48,,,2.74,0.0,0.49,15.170279,1092.0021,,,,,,56,527968.0,15.552727,48.516388,Asia,0.2782238611656324,0.5932390114092898
Zambia,2020,44.524475,10.4,138.23,,,2.0,0.0,13.1,86.75497,3099.083,,,,-2.785055065,985.132436,25,752618.0,-13.133897,27.849332,Africa,4.565580866657414,1.6836020143141999
Zimbabwe,2020,52.74767,30.4,80.61,30000.0,81.9,3.4,0.0,4.19,55.204216,2680.1318,10.0,,,-6.248748224,1214.50982,38,390757.0,-19.015438,29.154857,Africa,2.6616308808659963,1.456003371677216
